"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COL28A1",0.000515849398705191,3.33079455627513,0.259,0.107,1
"IQCA1",3.93859123659136e-28,3.32347663838446,0.862,0.195,7.26748854975838e-24
"AC002428.2",2.36328409003335e-13,3.30343250645922,0.362,0.053,4.36073180292953e-09
"ENSG00000288545.1",1.35237278250057e-24,3.30189034165082,0.397,0.018,2.49539825827006e-20
"DHRS3",5.81558851113465e-19,3.29896848030305,0.534,0.098,1.07309239207457e-14
"PLD2",5.09361377470895e-05,3.29868717865265,0.259,0.083,0.939873613709295
"WBP2NL",1.17067741204692e-07,3.29623482496536,0.379,0.115,0.00216013396070898
"FAAP20",0.000623798244101269,3.29599520538337,0.293,0.139,1
"ENSG00000286117.2",8.04469635472207e-13,3.28845153115754,0.259,0.024,1.48440737137332e-08
"SLC25A33",2.09627076813058e-16,3.2872815068833,0.707,0.225,3.86803882135455e-12
"CDH20",9.17309123185205e-19,3.28593535429003,0.621,0.142,1.69261879410134e-14
"PARD3B",1.06820798966388e-21,3.26961393862706,0.621,0.107,1.97105738252779e-17
"CYBRD1",4.70052831481357e-25,3.26948547746624,0.69,0.115,8.67341484649399e-21
"DDAH1",3.62870079385819e-28,3.25867202166349,0.983,0.408,6.69567870482714e-24
"TP53BP2",1.52982011975861e-28,3.24708663480057,0.966,0.29,2.82282408497859e-24
"SLC39A11",2.02277284440793e-24,3.24413090075239,0.845,0.228,3.73242045250152e-20
"SDC2",3.38621512441738e-26,3.24214191829934,0.724,0.127,6.24824414757495e-22
"PNPLA7",1.8148536111963e-06,3.22986316627545,0.362,0.121,0.033487678833794
"HOPX",1.8869881629942e-21,3.22928593614863,0.759,0.21,3.48187055835689e-17
"ZNF98",7.72255187630508e-13,3.2200717507596,0.345,0.053,1.42496527221581e-08
"ENSG00000286619.1",1.18044794863421e-10,3.21388300072815,0.362,0.071,2.17816255481984e-06
"C2orf72",6.6522872200333e-21,3.21325243310641,0.586,0.098,1.22748003784054e-16
"AC079331.1",3.86013558396031e-13,3.21010935363548,0.345,0.047,7.12272217952356e-09
"AK4",4.61540591608102e-20,3.20529456781254,0.81,0.243,8.51634699635269e-16
"ZIC2",3.94110078928137e-30,3.20403562726844,0.776,0.121,7.27211917638199e-26
"AL109809.4",1.02029021393627e-20,3.19993081394843,0.397,0.03,1.8826395027552e-16
"AP003025.2",1.24153492797502e-17,3.18914468331426,0.586,0.121,2.2908802490995e-13
"SLC6A11",4.15733511920866e-24,3.18873425856511,0.793,0.163,7.67111476196382e-20
"NKAIN4",3.16756765673337e-33,3.18643413338397,0.724,0.08,5.84479584020441e-29
"LAMB2",8.1174813798214e-24,3.1825668339659,0.621,0.095,1.49783766420464e-19
"SLC7A2",4.23449112340873e-16,3.17964348397831,0.534,0.104,7.81348302091378e-12
"TMEM229A",8.37706629088502e-11,3.16836030415552,0.293,0.044,1.5457362719941e-06
"OSBPL11",1.68475234239442e-17,3.16774554420672,0.879,0.355,3.10870502218619e-13
"AC025171.2",4.43866820882676e-11,3.16731388483015,0.31,0.047,8.19023057892714e-07
"SHPK",3.55086442434743e-08,3.1636967349578,0.293,0.065,0.000655205503580587
"SUOX",0.000234526770356447,3.16292208516629,0.379,0.192,1
"SLC25A5P1",1.65990239136547e-10,3.16207665721368,0.328,0.059,3.06285189254757e-06
"AC087241.1",2.4062698729356e-19,3.15763662258145,0.552,0.092,4.44004916954076e-15
"PRDM16",5.45015354287928e-20,3.14898423344152,0.5,0.068,1.00566233173208e-15
"ATP13A4.AS1",9.0845919229205e-18,3.14426254881526,0.293,0.015,1.67628890161729e-13
"C2orf73",1.46524309865955e-10,3.14158466049497,0.276,0.038,2.7036665656466e-06
"FABP5P4",4.25579483098471e-16,3.13254046281564,0.259,0.012,7.85279262213299e-12
"ANKDD1A",9.8471674920362e-25,3.12988755508473,0.862,0.257,1.81699934563052e-20
"PLEKHA7",6.9357934551705e-11,3.12282974221396,0.345,0.065,1.27979260834806e-06
"AL360219.1",1.87264616048947e-17,3.11415352245517,0.328,0.024,3.45540669533517e-13
"LINC00595",1.94210032901602e-10,3.11029107385997,0.466,0.139,3.58356352710036e-06
"TNS3",1.54603627201164e-26,3.10610998530152,0.845,0.195,2.85274612911588e-22
