"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
"262","6.29405290786642e-25","2.13813759843613","0.384","0.025","3.87631836436769e-20","ADAMTSL5"
"263","6.97840161459991e-25","2.70781989438131","0.973","0.524","4.29778820238364e-20","NADK2"
"264","7.33147487062989e-25","2.07936297034578","0.452","0.046","4.51523542857483e-20","MMD2"
"265","8.55929867000464e-25","2.51599554645621","0.63","0.122","5.27141527189576e-20","NT5E"
"266","1.03117405227821e-24","2.21358162793038","0.753","0.181","6.3506916357658e-20","NPL"
"267","1.12168637251171e-24","3.1582511964039","0.644","0.125","6.90812986238785e-20","PARD3B"
"268","1.49850949096501e-24","3.11700041486862","0.822","0.277","9.22887040200619e-20","TRPM3"
"269","1.69113594056922e-24","2.09719654915143","0.904","0.316","1.04151989171836e-19","NACC2"
"270","1.72082905590385e-24","1.854950718996","0.822","0.254","1.0598069906595e-19","STOM"
"271","1.81264019990196e-24","2.82814002096084","0.671","0.145","1.11635071991362e-19","CDC42EP4"
"272","1.96620624986081e-24","1.95040281164564","0.877","0.331","1.21092744310178e-19","BCAN"
"273","2.22408469469112e-24","4.52260296469525","0.699","0.16","1.36974704091942e-19","ITGA7"
"274","2.34205865874462e-24","3.77966218875532","0.534","0.074","1.44240366616105e-19","EPHX1"
"275","2.3573387933713e-24","-3.37734919888338","0.726","0.954","1.45181424267358e-19","STMN1"
"276","2.35846049846274e-24","2.29532216844023","0.767","0.209","1.45250506718825e-19","APCDD1"
"277","2.56088099435902e-24","2.52586959945253","0.658","0.135","1.57716977799589e-19","LIX1"
"278","2.71526411243603e-24","3.52372150302225","0.644","0.142","1.67224970892598e-19","CDH20"
"279","3.06416406367471e-24","1.81120446335238","0.945","0.331","1.88712672189534e-19","PADI2"
"280","3.12578731867718e-24","4.15812945166707","0.562","0.089","1.92507863595371e-19","AL136366.1"
"281","3.57117464107955e-24","2.51655160684124","0.575","0.092","2.19937932620167e-19","TMEM164"
"282","3.9029698501405e-24","2.03281596127096","1","0.583","2.40372204160603e-19","NEBL"
"283","4.21589291458786e-24","2.28490393258781","0.74","0.173","2.59644196930723e-19","ADRB1"
"284","4.67182671912242e-24","1.91800540232675","1","0.898","2.87723792150593e-19","CKB"
"285","4.75922719348225e-24","5.47608070313231","0.425","0.041","2.93106525164991e-19","GPR143"
"286","4.99466852700285e-24","2.91641091071447","0.767","0.224","3.07606650572524e-19","RIDA"
"287","5.81731988185531e-24","3.64224977350586","0.493","0.064","3.58271279563823e-19","MFGE8"
"288","6.41124639526041e-24","2.70154118690586","0.74","0.198","3.94849431744903e-19","MFAP3L"
